USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
011490,99999,RANA-BASMOEN,NO,,,+66.333,+014.100,+0042.0,19730101,20070228
011500,99999,HJARTASEN,NO,,,+66.500,+014.950,+0251.0,19730103,20150513
011501,99999,HATTFJELLDAL-KRUTA,NO,,,+65.683,+014.167,+0385.0,20020312,20020312
011510,99999,MOIRANA,NO,,ENRA,+66.367,+014.300,+0070.0,19730401,20150513
011520,99999,BODO,NO,,ENBO,+67.269,+014.365,+0012.8,19400917,20150513
011530,99999,BODO-VAGONES,NO,,,+67.283,+014.450,+0033.0,20111003,20140611
011540,99999,LITLOY FYR,NO,,,+68.583,+014.300,+0030.0,19940406,20030605
011550,99999,BO I VESTERALEN II,NO,,,+68.633,+014.467,+0012.0,19730101,20041201
011560,99999,BO I VESTERALEN,NO,,,+68.600,+014.433,+0007.6,20040510,20150513
011580,99999,SETSA,NO,,,+67.167,+015.483,+0008.0,20100114,20150513
011600,99999,SKROVA FYR,NO,,,+68.150,+014.650,+0011.0,19730101,20150513
011610,99999,SVOLVAER/HELLE,NO,,ENSH,+68.250,+014.667,+0009.0,19730620,20150513
011620,99999,STORKMARKNES/SKAGEN,NO,,ENSK,+68.583,+015.017,+0003.0,19730620,20150513
011630,99999,BOLNA,NO,,,+66.500,+015.250,+0549.0,19730101,19770823
011650,99999,GROTOY,NO,,,+67.833,+014.783,+0006.0,19730101,19781031
011670,99999,SORTLAND,NO,,,+68.700,+015.417,+0003.0,19850201,20150513
011680,99999,KLEIVA I SORTLAND,NO,,,+68.650,+015.283,+0023.0,19730101,20060611
011690,99999,SALTDAL-NORDNES,NO,,,+66.933,+015.317,+0037.0,19830101,20150513
011691,99999,OVRE SALTDAL,NO,,,+66.967,+015.317,+0026.0,19730101,19781008
011700,99999,FAUSKE-VETEN,NO,,,+67.233,+015.317,+0165.0,19730101,19900307
011720,99999,FINNOY I HAMAROY,NO,,,+68.000,+015.617,+0053.0,19730101,20060311
011751,99999,LODINGEN,NO,,,+68.400,+016.000,+0010.0,20040108,20040108
011760,99999,KONGSVIK,NO,,,+68.567,+016.267,+0025.0,19730101,19780118
011800,99999,HARSTAD,NO,,,+68.800,+016.533,+0045.0,20040510,20150513
011820,99999,EVENSKJER,NO,,,+68.583,+016.583,+0007.0,19730101,19851119
011830,99999,EVENES,NO,,ENEV,+68.491,+016.678,+0025.6,19750905,20150513
011840,99999,SANDSOY I SENJA,NO,,,+68.933,+016.683,+0045.0,19730101,19780613
011841,99999,SANDSOY,NO,,,+68.933,+016.683,+0045.0,20070307,20070307
011890,99999,LILAND,NO,,,+68.483,+016.883,+0019.0,19730102,20050302
011910,99999,SKJOMEN-SLETTJORD,NO,,,+68.283,+017.317,+0006.0,19730101,19961104
011920,99999,STRAUMSNES,NO,,,+68.417,+017.650,+0200.0,20110203,20150513
011930,99999,NARVIK III/FRAMNES,NO,,ENNK,+68.467,+017.500,+0023.0,20010706,20150513
011940,99999,NARVIK III,NO,,ENNK,+68.467,+017.500,+0023.0,19730101,20050405
011960,99999,TENNEVOLL,NO,,,+68.750,+017.817,+0021.0,19730101,20020808
011980,99999,DIVIDALEN II,NO,,,+68.783,+019.700,+0204.0,20100114,20150513
011990,99999,SIHCCAJAVRI,NO,,,+68.750,+023.533,+0382.0,19490101,20150303
012030,99999,KRAKENES,NO,,,+62.033,+004.983,+0041.0,19310904,20150513
012050,99999,SVINOY LH,NO,,,+62.333,+005.267,+0037.2,19730101,20150513
012070,99999,FISKABYGD,NO,,,+62.100,+005.583,+0041.0,20040510,20150512
012090,99999,ORSTA-VOLDA/HOVDEN,NO,,ENOV,+62.183,+006.067,+0074.0,19841211,20150513
012091,99999,ORSTA-VOLDA/HOVD,NO,,ENOV,+62.183,+006.050,+0074.0,19840910,19841127
012100,99999,VIGRA,NO,,ENAL,+62.560,+006.110,+0021.0,19730101,20150513
012120,99999,ONA II,NO,,,+62.867,+006.533,+0015.0,19550101,20150513
012140,99999,REKDAL,NO,,,+62.650,+006.767,+0043.0,20090112,20150513
012150,99999,HJELVIK MYRBO,NO,,,+62.620,+007.230,+0035.0,19730101,20090630
012160,99999,HJELVIK I ROMSDAL,NO,,,+62.617,+007.217,+0016.0,19731226,20020527
012161,99999,GJERMUNDNES,NO,,,+62.617,+007.167,+0049.0,20040412,20040412
012170,99999,ARO,NO,,ENML,+62.745,+007.263,+0003.0,19760201,20150513
012180,99999,TAFJORD,NO,,,+62.233,+007.417,+0017.0,19730101,20150513
012200,99999,MANNEN,NO,,,+62.450,+007.767,+1294.0,20100315,20150513
012210,99999,TAGDALEN,NO,,,+63.050,+009.083,+0415.0,20080115,20150513
012230,99999,KVERNBERGET,NO,,ENKB,+63.112,+007.825,+0062.2,19730101,20150513
012240,99999,AALESUND,NO,,,+62.467,+006.217,+0050.0,19841201,20150513
012250,99999,VEIHOLMEN,NO,,,+63.517,+007.950,+0005.0,19730101,20150513
012270,99999,INNERDALEN,NO,,,+62.717,+008.783,+0405.0,19730101,20150513
012273,99999,TINGVOLL-HANEM,NO,,,+62.833,+008.300,+0069.0,20150108,20150108
012280,99999,SULA,NO,,,+63.850,+008.467,+0006.0,19730101,20150513
012300,99999,BJORLI,NO,,,+62.267,+008.200,+0579.0,19730101,20150512
012310,99999,LESJASKOG,NO,,,+62.233,+008.367,+0621.0,19771030,20080731
012320,99999,VINJEORA II,NO,,,+62.450,+007.850,+0067.0,19730101,20150513
012330,99999,DOMBAAS,NO,,,+62.083,+009.117,+0638.0,20061121,20150508
012340,99999,ORKDAL-THAMSHAMN,NO,,,+63.317,+009.850,+0004.0,20061121,20150513
012350,99999,DOMBAS-KIRKENAER,NO,,,+62.083,+009.133,+0645.0,19360101,19760602
012360,99999,KJOREMSGRENDE,NO,,,+62.100,+009.050,+0626.0,20050218,20100104
012370,99999,HITRA,NO,,,+63.517,+009.117,+0013.0,20050402,20150513
012380,99999,FOKSTUA II,NO,,,+62.117,+009.283,+0974.0,19730101,20150513
012390,99999,HJERKINN II,NO,,,+62.217,+009.550,+1012.0,20100907,20150513
012400,99999,HALTEN FYR,NO,,,+64.167,+009.400,+0016.0,19850110,20150330
012410,99999,ORLAND,NO,,ENOL,+63.699,+009.604,+0008.5,19730101,20150513
012420,99999,AFJORD,NO,,,+63.967,+010.217,+0021.0,20080115,20150513
012430,99999,SONGLI,NO,,,+63.333,+009.650,+0300.0,19730101,19761119
012450,99999,OPPDAL-SETER,NO,,,+62.600,+009.667,+0606.0,19760201,20150513
012480,99999,VALLERSUND,NO,,,+63.850,+009.733,+0004.0,19730101,19751219
012500,99999,FOLLDAL-FREDHEIM,NO,,,+62.133,+010.000,+0694.0,20110928,20150513
